year,team,rank,rating,w:l:sched:10:30,golden mean,predictor,elo score
2006,South Carolina,24, 82.49,   8   5   75.73(  16)    0   1  ,  83.21   24 ,  81.21   25,NA
2006,Boston College,25, 82.40,  10   3   71.95(  44)    0   0  ,  83.92   21 ,  80.46   27,NA
2006,TCU,26, 81.98,  11   2   66.94(  85)    0   0  ,  77.46   37 ,  87.51    9,NA
2006,Wake Forest,27, 81.84,  11   3   71.78(  46)    0   1  ,  83.76   22 ,  79.60   32,NA
2006,Kentucky,28, 80.25,   8   5   76.26(  13)    0   3  ,  84.82   19 ,  76.24   47,NA
2006,Clemson,29, 80.18,   8   5   70.80(  59)    0   0  ,  77.69   36 ,  82.36   21,NA
2006,Nebraska,30, 79.69,   9   5   71.38(  51)    0   1  ,  77.35   38 ,  81.64   23,NA
2006,South Florida,31, 79.33,   9   4   70.42(  62)    1   1  ,  79.73   30 ,  78.32   39,NA
2006,Georgia Tech,32, 79.29,   9   5   71.07(  56)    0   1  ,  79.35   32 ,  78.61   36,NA
2006,Florida State,33, 78.73,   7   6   73.05(  39)    0   1  ,  77.27   39 ,  79.61   31,NA
2006,UCLA,34, 78.52,   7   6   77.77(   7)    1   1  ,  77.94   35 ,  78.47   37,NA
2006,Oregon,35, 78.27,   7   6   77.86(   6)    0   2  ,  78.62   33 ,  77.30   41,NA
2006,Texas Tech,36, 78.00,   8   5   69.73(  66)    0   0  ,  74.76   43 ,  81.15   26,NA
2006,Washington State,37, 77.59,   6   6   76.59(  10)    0   2  ,  78.44   34 ,  76.19   48,NA
2006,Maryland,38, 77.11,   9   4   71.18(  55)    0   1  ,  81.28   27 ,  73.22   52,NA
2006,Texas A&amp;M,39, 76.98,   9   4   69.99(  64)    0   1  ,  76.59   40 ,  76.73   44,NA
2006,Arizona State,40, 76.73,   7   6   76.34(  11)    0   2  ,  76.45   41 ,  76.38   45,NA
2006,Oklahoma State,41, 76.37,   7   6   70.00(  63)    0   0  ,  72.95   51 ,  79.73   29,NA
2006,Missouri,42, 76.30,   8   5   68.75(  72)    0   0  ,  72.98   50 ,  79.52   33,NA
2006,Cincinnati,43, 76.23,   8   5   74.29(  25)    0   3  ,  80.63   28 ,  72.17   54,NA
2006,Arizona,44, 75.92,   6   6   78.44(   3)    1   2  ,  80.14   29 ,  71.95   56,NA
2006,Pittsburgh,45, 75.80,   6   6   71.92(  45)    0   2  ,  72.02   54 ,  79.65   30,NA
2006,Utah,46, 75.69,   8   5   68.63(  73)    0   1  ,  72.36   52 ,  78.90   35,NA
2006,Navy,47, 75.33,   9   4   66.38(  87)    0   0  ,  73.75   46 ,  76.35   46,NA
2006,Minnesota,48, 75.13,   6   7   75.28(  19)    0   4  ,  71.77   57 ,  78.36   38,NA
2006,Miami-Florida,49, 74.63,   7   6   69.31(  69)    0   1  ,  73.80   45 ,  74.82   49,NA
2006,Washington,50, 74.25,   5   7   77.90(   5)    0   2  ,  75.81   42 ,  72.21   53,NA
2006,Iowa,51, 73.85,   6   7   73.41(  34)    0   3  ,  69.99   61 ,  77.73   40,NA
2006,Southern Miss,52, 73.47,   9   5   66.28(  89)    0   1  ,  71.59   58 ,  74.81   50,NA
2006,Appalachian State,53, 73.36,  14   1   53.93( 147)    0   0  ,  74.12   44 ,  72.01   55,NA
2006,Houston,54, 73.11,  10   4   64.44( 100)    0   0  ,  71.85   56 ,  73.76   51,NA
2006,Alabama,55, 73.10,   6   7   73.69(  30)    0   2  ,  69.24   63 ,  76.94   42,NA
2006,Central Michigan,56, 73.05,  10   4   64.74(  97)    0   1  ,  73.55   47 ,  71.94   57,NA
2006,North Dakota State,57, 71.81,  10   1   56.03( 138)    0   0  ,  73.28   48 ,  69.82   64,NA
2006,Nevada,58, 71.62,   8   5   65.11(  94)    0   1  ,  66.80   74 ,  76.75   43,NA
2006,Massachusetts,59, 71.24,  13   2   56.17( 135)    0   0  ,  73.00   49 ,  69.01   71,NA
2006,Kansas State,60, 70.77,   7   6   71.64(  47)    0   1  ,  70.78   60 ,  70.11   63,NA
2006,San Jose State,61, 70.70,   9   4   64.03( 105)    0   1  ,  72.24   53 ,  68.65   72,NA
2006,Purdue,62, 70.36,   8   6   69.33(  67)    0   1  ,  71.99   55 ,  68.22   74,NA
2006,Vanderbilt,63, 69.90,   4   8   73.78(  29)    0   2  ,  68.17   66 ,  71.06   59,NA
2006,Kansas,64, 69.42,   6   6   67.42(  80)    0   0  ,  66.52   76 ,  71.91   58,NA
2006,Tulsa,65, 69.37,   8   5   65.77(  92)    0   0  ,  67.78   68 ,  70.37   62,NA
2006,Syracuse,66, 69.00,   4   8   75.86(  14)    0   2  ,  67.73   69 ,  69.65   66,NA
2006,East Carolina,67, 68.88,   7   6   68.08(  76)    0   1  ,  67.68   70 ,  69.46   67,NA
2006,Virginia,68, 68.78,   5   7   71.18(  54)    0   0  ,  67.57   71 ,  69.36   69,NA
2006,Western Michigan,69, 68.69,   8   5   64.12( 102)    0   0  ,  67.38   72 ,  69.38   68,NA
2006,Montana,70, 68.62,  12   2   56.01( 139)    0   0  ,  71.48   59 ,  65.43   86,NA
2006,Youngstown State,71, 68.55,  11   3   59.49( 123)    0   0  ,  69.93   62 ,  66.62   83,NA
2006,Wyoming,72, 68.54,   6   6   69.21(  70)    0   1  ,  66.13   78 ,  70.44   61,NA
2006,Connecticut,73, 68.26,   4   8   74.52(  22)    0   2  ,  68.51   64 ,  67.39   80,NA
2006,Mississippi,74, 68.05,   4   8   74.56(  21)    0   1  ,  68.01   67 ,  67.46   79,NA
2006,NC State,75, 67.48,   3   9   73.65(  31)    0   0  ,  65.20   83 ,  69.22   70,NA
2006,James Madison,76, 67.17,   9   3   55.88( 143)    0   0  ,  64.10   86 ,  69.81   65,NA
2006,Ohio University,77, 66.83,   9   5   63.68( 106)    0   0  ,  65.31   82 ,  67.76   75,NA
2006,Mississippi State,78, 66.56,   3   9   75.67(  17)    0   2  ,  64.92   84 ,  67.60   77,NA
2006,Air Force,79, 66.50,   4   8   71.54(  50)    0   0  ,  62.18   98 ,  70.64   60,NA
2006,Michigan State,80, 66.39,   4   8   71.96(  43)    0   2  ,  63.78   87 ,  68.50   73,NA
2006,Troy,81, 66.35,   8   5   61.10( 117)    0   0  ,  68.31   65 ,  63.87   90,NA
2006,Baylor,82, 65.21,   4   8   71.58(  49)    0   0  ,  64.32   85 ,  65.47   85,NA
2006,New Mexico,83, 64.99,   6   7   67.87(  78)    0   0  ,  62.46   93 ,  66.98   82,NA
2006,Indiana,84, 64.80,   5   7   73.09(  35)    0   3  ,  67.26   73 ,  61.87  103,NA
2006,Northern Illinois,85, 64.78,   7   6   63.03( 109)    0   1  ,  62.03   99 ,  67.02   81,NA
2006,Portland State,86, 64.69,   7   4   59.53( 122)    0   1  ,  65.39   80 ,  63.38   93,NA
2006,Middle Tennessee,87, 64.60,   7   6   65.12(  93)    0   1  ,  66.45   77 ,  62.22  100,NA
2006,Rice,88, 64.51,   7   6   67.92(  77)    0   0  ,  66.52   75 ,  61.96  102,NA
2006,New Hampshire,89, 64.39,   9   4   55.97( 141)    0   0  ,  62.23   97 ,  65.97   84,NA
2006,Iowa State,90, 63.59,   4   8   71.25(  52)    0   0  ,  62.48   92 ,  64.07   88,NA
2006,Northern Iowa,91, 63.12,   7   4   53.65( 150)    0   0  ,  62.46   94 ,  63.14   94,NA
2006,UC Davis,92, 63.00,   6   5   59.09( 124)    0   0  ,  63.04   90 ,  62.33   98,NA
2006,Northwestern,93, 62.95,   4   8   72.62(  41)    0   3  ,  61.54  101 ,  63.73   92,NA
2006,Colorado,94, 62.93,   2  10   72.40(  42)    0   0  ,  57.96  118 ,  67.63   76,NA
2006,Colorado State,95, 62.89,   4   8   67.41(  81)    0   0  ,  57.97  117 ,  67.54   78,NA
2006,SMU,96, 62.78,   6   6   62.50( 113)    0   0  ,  62.43   95 ,  62.48   97,NA
2006,North Carolina,97, 62.46,   3   9   73.88(  28)    0   0  ,  63.75   89 ,  60.58  109,NA
2006,Ball State,98, 62.37,   5   7   64.93(  95)    0   1  ,  60.00  108 ,  64.16   87,NA
2006,Fresno State,99, 62.03,   4   8   69.33(  68)    0   2  ,  59.48  112 ,  64.01   89,NA
2006,Illinois State,100, 61.89,   9   4   53.76( 149)    0   0  ,  62.33   96 ,  60.81  107,NA
2006,Southern Illinois,101, 61.87,   9   4   53.57( 152)    0   0  ,  60.96  105 ,  62.14  101,NA
2006,Marshall,102, 61.62,   5   7   66.31(  88)    0   1  ,  61.04  104 ,  61.56  104,NA
2006,UTEP,103, 61.57,   5   7   63.52( 107)    0   0  ,  59.58  111 ,  62.96   95,NA
2006,Stanford,104, 61.42,   1  11   80.25(   1)    0   2  ,  65.31   81 ,  57.10  122,NA
2006,Akron,105, 61.14,   5   7   64.06( 104)    0   0  ,  58.98  114 ,  62.70   96,NA
2006,South Dakota State,106, 61.12,   7   4   58.22( 128)    0   0  ,  65.78   79 ,  56.10  127,NA
2006,Cal Poly-SLO,107, 60.95,   7   4   55.95( 142)    0   0  ,  63.75   88 ,  57.62  121,NA
2006,Illinois,108, 60.66,   2  10   72.99(  40)    0   2  ,  56.93  125 ,  63.87   91,NA
2006,Maine,109, 60.56,   6   5   60.31( 120)    0   0  ,  58.27  115 ,  62.25   99,NA
2006,San Diego,110, 60.54,  11   1   34.59( 223)    0   0  ,  61.07  103 ,  59.39  115,NA
2006,Central Florida(UCF),111, 60.12,   4   8   68.18(  75)    0   1  ,  60.16  107 ,  59.44  113,NA
2006,Toledo,112, 59.47,   5   7   62.78( 112)    0   0  ,  58.10  116 ,  60.21  112,NA
2006,UAB,113, 59.17,   3   9   67.46(  79)    0   0  ,  57.08  123 ,  60.64  108,NA
2006,San Diego State,114, 59.15,   3   9   70.54(  60)    0   1  ,  57.46  122 ,  60.22  111,NA
2006,Arkansas State,115, 59.00,   6   6   61.87( 114)    0   0  ,  60.73  106 ,  56.66  125,NA
2006,Tulane,116, 58.96,   4   8   69.77(  65)    0   1  ,  61.50  102 ,  55.82  128,NA
2006,Montana State,117, 58.96,   8   5   56.33( 133)    0   0  ,  62.74   91 ,  54.62  131,NA
2006,Louisiana-Monroe,118, 58.92,   4   8   62.85( 110)    0   0  ,  56.01  127 ,  61.21  105,NA
2006,Kent State,119, 58.77,   6   6   60.55( 119)    0   0  ,  57.58  120 ,  59.32  116,NA
2006,Northern Arizona,120, 58.68,   6   5   57.81( 130)    0   0  ,  57.65  119 ,  59.08  118,NA
2006,Wofford,121, 57.59,   7   4   51.82( 160)    0   0  ,  53.44  133 ,  61.13  106,NA
2006,Army,122, 57.57,   3   9   65.78(  91)    0   0  ,  56.76  126 ,  57.74  120,NA
2006,Princeton,123, 57.56,   9   1   47.07( 175)    0   0  ,  61.65  100 ,  52.86  141,NA
2006,Louisiana-Lafayette,124, 57.52,   6   6   59.08( 125)    0   1  ,  59.83  109 ,  54.58  133,NA
2006,Northeastern,125, 56.92,   5   6   61.17( 116)    0   0  ,  56.97  124 ,  56.24  126,NA
2006,Yale,126, 56.56,   8   2   48.94( 169)    0   0  ,  59.26  113 ,  53.21  140,NA
2006,Villanova,127, 56.54,   6   5   56.32( 134)    0   0  ,  55.37  131 ,  57.07  124,NA
2006,UNLV,128, 56.49,   2  10   69.02(  71)    0   0  ,  51.79  140 ,  60.53  110,NA
2006,New Mexico State,129, 56.15,   4   8   59.86( 121)    0   1  ,  52.21  137 ,  59.42  114,NA
2006,Florida Atlantic,130, 56.09,   5   7   63.40( 108)    0   0  ,  59.75  110 ,  51.75  143,NA
2006,Richmond,131, 55.77,   6   5   51.51( 161)    0   0  ,  52.04  139 ,  58.83  119,NA
2006,Towson,132, 55.38,   7   4   53.19( 155)    0   0  ,  55.38  130 ,  54.74  130,NA
2006,Miami-Ohio,133, 55.22,   2  10   64.08( 103)    0   0  ,  50.38  147 ,  59.32  117,NA
2006,Furman,134, 55.15,   8   4   52.37( 158)    0   0  ,  55.96  128 ,  53.69  137,NA
2006,Memphis,135, 54.50,   2  10   64.91(  96)    0   0  ,  51.20  142 ,  57.10  123,NA
2006,Idaho,136, 54.48,   4   8   67.03(  84)    0   1  ,  57.55  121 ,  50.68  149,NA
2006,Harvard,137, 54.15,   7   3   47.75( 174)    0   0  ,  54.39  132 ,  53.26  139,NA
2006,Coastal Carolina,138, 53.67,   9   3   44.57( 187)    0   0  ,  53.18  134 ,  53.53  138,NA
2006,Bowling Green,139, 53.64,   4   8   62.84( 111)    0   2  ,  51.13  143 ,  55.47  129,NA
2006,Central Arkansas,140, 52.96,   8   3   53.64( 151)    0   0  ,  55.86  129 ,  49.30  157,NA
2006,Western Kentucky,141, 52.46,   6   5   52.48( 156)    0   0  ,  52.91  136 ,  51.37  146,NA
2006,Hampton,142, 52.01,  10   2   37.63( 216)    0   0  ,  49.56  150 ,  53.77  136,NA
2006,Delaware,143, 51.81,   5   6   53.93( 148)    0   0  ,  48.73  154 ,  54.16  134,NA
2006,Sacramento State,144, 51.45,   4   7   58.73( 126)    0   1  ,  52.98  135 ,  49.23  158,NA
2006,Tennessee-Martin,145, 51.33,   9   3   43.24( 192)    0   0  ,  50.56  145 ,  51.46  144,NA
2006,Eastern Michigan,146, 51.20,   1  11   64.55(  99)    0   0  ,  47.68  158 ,  53.94  135,NA
2006,McNeese State,147, 50.95,   7   5   51.48( 162)    0   0  ,  51.02  144 ,  50.25  151,NA
2006,North Texas,148, 50.83,   3   9   61.38( 115)    0   0  ,  52.15  138 ,  48.83  163,NA
2006,Eastern Illinois,149, 50.42,   8   5   47.80( 173)    0   0  ,  50.39  146 ,  49.81  154,NA
2006,Buffalo,150, 50.27,   2  10   67.19(  83)    0   1  ,  49.02  151 ,  50.86  148,NA
2006,Pennsylvania,151, 49.84,   5   5   48.31( 171)    0   0  ,  49.02  152 ,  50.02  153,NA
2006,Eastern Washington,152, 49.80,   3   8   60.65( 118)    0   1  ,  50.09  148 ,  48.87  162,NA
2006,Duke,153, 49.76,   0  12   73.43(  33)    0   0  ,  43.68  175 ,  54.62  132,NA
2006,Weber State,154, 49.66,   4   7   54.28( 146)    0   0  ,  49.66  149 ,  49.01  161,NA
2006,Lehigh,155, 49.48,   6   5   45.97( 180)    0   0  ,  48.20  157 ,  50.11  152,NA
2006,Western Illinois,156, 49.35,   5   6   53.47( 153)    0   1  ,  47.39  161 ,  50.63  150,NA
2006,Louisiana Tech,157, 49.18,   3  10   66.70(  86)    0   1  ,  51.47  141 ,  46.08  169,NA
2006,Citadel,158, 48.69,   5   6   53.26( 154)    0   0  ,  47.52  159 ,  49.21  159,NA
2006,William &amp; Mary,159, 48.57,   3   8   56.42( 132)    0   0  ,  44.20  171 ,  51.97  142,NA
2006,Jacksonville State,160, 48.51,   6   5   44.50( 189)    0   0  ,  45.10  169 ,  51.08  147,NA
2006,Lafayette,161, 47.91,   6   6   46.34( 179)    0   0  ,  46.69  164 ,  48.47  164,NA
2006,Stephen F. Austin,162, 47.88,   4   7   52.46( 157)    0   0  ,  45.55  168 ,  49.48  156,NA
2006,Rhode Island,163, 47.63,   4   7   58.59( 127)    0   0  ,  48.76  153 ,  45.80  170,NA
2006,Hofstra,164, 47.60,   2   9   56.08( 137)    0   0  ,  42.68  183 ,  51.41  145,NA
2006,Temple,165, 47.06,   1  11   71.23(  53)    0   1  ,  48.39  155 ,  45.02  175,NA
2006,Utah State,166, 46.51,   1  11   71.58(  48)    0   1  ,  48.33  156 ,  43.89  179,NA
2006,Holy Cross,167, 46.21,   7   4   41.85( 197)    0   0  ,  46.68  165 ,  45.08  174,NA
2006,SC State,168, 46.20,   7   4   39.83( 210)    0   0  ,  44.19  172 ,  47.50  166,NA
2006,Georgia Southern,169, 46.12,   3   8   52.15( 159)    0   0  ,  41.58  186 ,  49.57  155,NA
2006,Liberty,170, 45.57,   6   5   45.46( 183)    0   0  ,  40.94  192 ,  49.06  160,NA
2006,Monmouth-NJ,171, 45.54,  10   2   33.04( 225)    0   0  ,  47.46  160 ,  42.80  185,NA
2006,Elon,172, 45.30,   5   6   48.33( 170)    0   0  ,  43.55  176 ,  46.35  167,NA
2006,Cornell,173, 45.17,   5   5   46.55( 178)    0   0  ,  46.89  162 ,  42.67  186,NA
2006,Sam Houston State,174, 44.97,   6   5   50.19( 166)    0   0  ,  46.35  167 ,  42.84  183,NA
2006,Eastern Kentucky,175, 44.87,   6   5   44.51( 188)    0   0  ,  43.51  177 ,  45.57  171,NA
2006,Alabama A&amp;M,176, 44.37,   9   3   38.58( 212)    0   0  ,  46.55  166 ,  41.29  188,NA
2006,Southern Utah,177, 44.33,   3   8   58.14( 129)    0   0  ,  42.90  179 ,  45.10  173,NA
2006,Charleston Southern,178, 44.14,   9   2   38.18( 214)    0   0  ,  46.85  163 ,  40.40  190,NA
2006,Fla. International,179, 43.67,   0  12   64.42( 101)    0   0  ,  37.67  201 ,  48.06  165,NA
2006,Northwestern State,180, 43.38,   4   7   50.88( 164)    0   0  ,  40.37  193 ,  45.51  172,NA
2006,Idaho State,181, 43.29,   2   9   55.21( 144)    0   0  ,  39.31  197 ,  46.21  168,NA
2006,Albany (NY),182, 43.23,   7   4   36.41( 220)    0   0  ,  41.99  185 ,  43.81  180,NA
2006,Delaware State,183, 43.18,   8   3   35.58( 221)    0   0  ,  42.89  180 ,  42.82  184,NA
2006,Chattanooga,184, 43.08,   3   8   51.00( 163)    0   0  ,  40.31  194 ,  45.02  176,NA
2006,Colgate,185, 42.84,   4   7   45.86( 182)    0   0  ,  40.96  191 ,  43.99  178,NA
2006,Tennessee State,186, 42.22,   6   5   42.39( 195)    0   0  ,  42.58  184 ,  41.19  189,NA
2006,Brown,187, 42.14,   3   7   47.00( 176)    0   0  ,  41.51  187 ,  42.13  187,NA
2006,Ark.-Pine Bluff,188, 42.11,   8   4   40.15( 209)    0   0  ,  44.89  170 ,  38.23  199,NA
2006,Columbia,189, 42.02,   5   5   42.31( 196)    0   0  ,  43.87  174 ,  39.30  193,NA
2006,Texas State,190, 41.96,   5   6   45.31( 185)    0   0  ,  39.05  198 ,  44.00  177,NA
2006,Gardner-Webb,191, 41.47,   6   5   45.43( 184)    0   0  ,  44.08  173 ,  37.78  201,NA
2006,Central Connecticut,192, 41.47,   8   3   30.40( 233)    0   0  ,  38.64  200 ,  43.42  181,NA
2006,Drake,193, 41.32,   9   2   32.41( 227)    0   0  ,  43.29  178 ,  38.45  197,NA
2006,Florida A&amp;M,194, 41.30,   7   4   40.43( 207)    0   0  ,  42.79  181 ,  39.00  195,NA
2006,Missouri State,195, 40.78,   2   9   56.71( 131)    0   0  ,  37.44  203 ,  43.14  182,NA
2006,Dartmouth,196, 40.59,   2   8   50.09( 167)    0   0  ,  40.21  195 ,  40.34  192,NA
2006,Bucknell,197, 40.46,   6   5   41.34( 201)    0   0  ,  42.76  182 ,  37.15  205,NA
2006,Alcorn State,198, 39.95,   6   5   40.91( 203)    0   0  ,  41.20  188 ,  37.93  200,NA
2006,Jackson State,199, 38.78,   6   5   38.20( 213)    0   0  ,  39.37  196 ,  37.50  203,NA
2006,Miss. Valley State,200, 38.55,   6   5   41.76( 198)    0   0  ,  41.02  190 ,  34.95  212,NA
2006,Nicholls State,201, 38.53,   4   7   50.65( 165)    0   0  ,  37.67  202 ,  38.74  196,NA
2006,Alabama State,202, 38.42,   5   6   41.42( 200)    0   0  ,  41.06  189 ,  34.59  213,NA
2006,Grambling,203, 38.20,   3   8   42.93( 193)    0   0  ,  35.02  209 ,  40.39  191,NA
2006,Southern University,204, 38.15,   5   6   37.99( 215)    0   0  ,  38.71  199 ,  36.90  206,NA
2006,Tennessee Tech,205, 37.09,   4   7   43.77( 191)    0   0  ,  37.39  204 ,  36.12  209,NA
2006,Morgan State,206, 36.93,   5   6   40.47( 206)    0   0  ,  36.80  205 ,  36.42  207,NA
2006,Bethune-Cookman,207, 36.62,   5   6   34.60( 222)    0   0  ,  33.15  215 ,  39.00  194,NA
2006,Western Carolina,208, 36.43,   2   9   55.98( 140)    0   1  ,  33.45  214 ,  38.44  198,NA
2006,Stony Brook,209, 36.35,   5   6   40.58( 205)    0   0  ,  35.74  207 ,  36.31  208,NA
2006,Duquesne,210, 35.57,   7   3   23.61( 240)    0   0  ,  35.19  208 ,  35.30  210,NA
2006,Indiana State,211, 35.52,   1  10   56.15( 136)    0   0  ,  32.36  217 ,  37.65  202,NA
2006,Northern Colorado,212, 35.35,   1  10   54.32( 145)    0   0  ,  36.13  206 ,  33.83  215,NA
2006,SE Louisiana,213, 34.75,   2   9   49.59( 168)    0   0  ,  33.64  213 ,  35.19  211,NA
2006,Winston-Salem State,214, 34.27,   4   7   36.67( 217)    0   0  ,  29.64  222 ,  37.36  204,NA
2006,Howard,215, 34.21,   5   6   42.70( 194)    0   0  ,  34.67  210 ,  33.06  218,NA
2006,Robert Morris,216, 34.10,   7   4   30.97( 231)    0   0  ,  33.93  212 ,  33.62  216,NA
2006,SE Missouri State,217, 33.40,   4   7   44.93( 186)    0   0  ,  32.18  219 ,  33.93  214,NA
2006,Texas Southern,218, 32.72,   3   8   41.15( 202)    0   0  ,  34.34  211 ,  30.15  222,NA
2006,Davidson,219, 32.13,   6   4   29.41( 235)    0   0  ,  32.26  218 ,  31.35  220,NA
2006,Fordham,220, 31.91,   3   8   40.30( 208)    0   0  ,  33.02  216 ,  29.98  224,NA
2006,Samford,221, 31.35,   3   8   44.11( 190)    0   0  ,  28.09  226 ,  33.48  217,NA
2006,Prairie View A&amp;M,222, 31.18,   3   8   38.81( 211)    0   0  ,  31.77  220 ,  29.88  225,NA
2006,Norfolk State,223, 30.60,   4   7   36.46( 219)    0   0  ,  28.63  225 ,  31.76  219,NA
2006,Georgetown,224, 30.29,   2   9   40.65( 204)    0   0  ,  30.06  221 ,  29.87  226,NA
2006,VMI,225, 29.94,   1  10   48.29( 172)    0   0  ,  28.97  223 ,  30.25  221,NA
2006,Murray State,226, 28.24,   1  10   46.80( 177)    0   0  ,  25.31  227 ,  30.11  223,NA
2006,Jacksonville,227, 26.83,   4   6   32.09( 229)    0   0  ,  28.95  224 ,  23.42  230,NA
2006,Austin Peay,228, 25.77,   3   8   36.53( 218)    0   0  ,  19.74  233 ,  29.31  227,NA
2006,Dayton,229, 24.16,   4   6   30.14( 234)    0   0  ,  21.62  230 ,  25.72  228,NA
2006,Morehead State,230, 22.59,   2   9   32.44( 226)    0   0  ,  18.32  236 ,  25.18  229,NA
2006,Wagner,231, 22.27,   4   7   27.88( 237)    0   0  ,  22.40  229 ,  21.48  232,NA
2006,Marist,232, 21.74,   4   7   28.17( 236)    0   0  ,  22.76  228 ,  19.86  234,NA
2006,Sacred Heart,233, 21.71,   2   9   33.07( 224)    0   0  ,  19.90  232 ,  22.72  231,NA
2006,Iona,234, 18.82,   3   7   24.60( 239)    0   0  ,  16.88  238 ,  19.90  233,NA
2006,St. Francis-Pa.,235, 18.72,   3   8   31.32( 230)    0   0  ,  21.57  231 ,  13.52  235,NA
2006,Butler,236, 16.76,   3   8   30.89( 232)    0   0  ,  19.02  234 ,  12.75  236,NA
2006,Savannah State,237, 15.73,   2   9   45.87( 181)    0   0  ,  18.85  235 ,   9.56  238,NA
2006,NC A&amp;T,238, 13.86,   0  11   41.65( 199)    0   0  ,  15.56  240 ,  10.84  237,NA
2006,Valparaiso,239, 13.17,   3   8   32.32( 228)    0   0  ,  16.40  239 ,   6.34  239,NA
2006,La Salle,240, 12.73,   3   7   21.24( 241)    0   0  ,  17.01  237 ,  -0.06  241,NA
2006,Saint Peter's,241, 10.34,   2   8   27.59( 238)    0   0  ,  13.02  241 ,   4.97  240,NA
2009,Alabama,1,100.25,  14   0   77.28(   2)    3   0  , 103.11    1 ,  97.87    1,NA
2009,Florida,2, 95.75,  13   1   75.39(  15)    1   1  ,  96.44    2 ,  94.68    2,NA
2009,Texas,3, 92.39,  13   1   73.09(  38)    0   1  ,  91.81    4 ,  92.51    4,NA
2009,TCU,4, 90.16,  12   1   70.59(  60)    0   1  ,  90.29    6 ,  89.56    6,NA
2009,Boise State,5, 89.35,  14   0   64.97(  96)    1   0  ,  94.89    3 ,  85.57   11,NA
2009,Ohio State,6, 88.35,  11   2   72.05(  50)    2   0  ,  87.22    8 ,  89.08    7,NA
2009,Virginia Tech,7, 87.69,  10   3   75.77(  13)    0   1  ,  84.03   13 ,  92.71    3,NA
2009,Cincinnati,8, 86.84,  12   1   72.51(  44)    0   1  ,  90.57    5 ,  83.74   15,NA
2009,Iowa,9, 85.82,  11   2   72.64(  41)    1   1  ,  88.17    7 ,  83.50   17,NA
2009,Penn State,10, 85.43,  11   2   69.21(  73)    0   2  ,  84.79   10 ,  85.60   10,NA
2009,Oregon,11, 85.27,  10   3   76.29(   6)    0   2  ,  84.35   11 ,  85.77    9,NA
2009,Georgia Tech,12, 84.60,  11   3   76.17(  10)    1   1  ,  84.27   12 ,  84.45   12,NA
2009,LSU,13, 84.22,   9   4   76.64(   5)    0   3  ,  83.74   14 ,  84.21   13,NA
2009,Nebraska,14, 84.06,  10   4   71.83(  52)    0   2  ,  80.01   25 ,  89.64    5,NA
2009,BYU,15, 83.60,  11   2   70.34(  61)    0   1  ,  84.94    9 ,  81.97   23,NA
2009,Pittsburgh,16, 83.50,  10   3   72.90(  40)    0   1  ,  82.81   16 ,  83.73   16,NA
